TerritoryID,Name,CountryRegionCode,Group,SalesYTD,SalesLastYear,CostYTD,CostLastYear,rowguid,ModifiedDate
1,Northwest,US,North America,7887186.7880,3298694.4940,0,0,43689A10-E30B-497F-B0DE-11DE20267FF7,4/30/2008
2,Northeast,US,North America,2402176.8480,3607148.9370,0,0,00FB7309-96CC-49E2-8363-0A1BA72486F2,4/30/2008
3,Central,US,North America,3072175.1180,3205014.0770,0,0,DF6E7FD8-1A8D-468C-B103-ED8ADDB452C1,4/30/2008
4,Southwest,US,North America,10510853.8700,5366575.7100,0,0,DC3E9EA0-7950-4431-9428-99DBCBC33865,4/30/2008
5,Southeast,US,North America,2538667.2520,3925071.4320,0,0,6DC4165A-5E4C-42D2-809D-4344E0AC75E7,4/30/2008
6,Canada,CA,North America,6771829.1380,5693988.8600,0,0,06B4AF8A-1639-476E-9266-110461D66B00,4/30/2008
7,France,FR,Europe,4772398.3080,2396539.7600,0,0,BF806804-9B4C-4B07-9D19-706F2E689552,4/30/2008
8,Germany,DE,Europe,3805202.3480,1307949.7920,0,0,6D2450DB-8159-414F-A917-E73EE91C38A9,4/30/2008
9,Australia,AU,Pacific,5977814.9150,2278548.9780,0,0,602E612E-DFE9-41D9-B894-27E489747885,4/30/2008
10,United Kingdom,GB,Europe,5012905.3660,1635823.3970,0,0,05FC7E1F-2DEA-414E-9ECD-09D150516FB5,4/30/2008
